"address","addressCity","addressState","addressStreet","addressZipcode","area","availabilityDate","baths","beds","brokerName","countryCurrency","hasAdditionalAttributions","id","isFeaturedListing","isHomeRec","isSaved","isUndisclosedAddress","isUserClaimingOwner","latLong/latitude","latLong/longitude","list","openHouseDescription","openHouseStartDate","price","shouldShowZestimateAsPrice","statusText","statusType","unformattedPrice","variableData/text","variableData/type","zpid"
"4509 N 39th Pl, Phoenix, AZ 85018","Phoenix","AZ","4509 N 39th Pl","85018","3735",,"5","5","Walt Danley Local Luxury Christie's International Real Estate","$","true","7833856","false","false","false","false","false","33.50296","-111.99671","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$2,200,000","false","House for sale","FOR_SALE","2200000","Open: Sat. 11am-2pm","OPEN_HOUSE","7833856"
"7127 N 23rd Ln, Phoenix, AZ 85021","Phoenix","AZ","7127 N 23rd Ln","85021","1817",,"2","3","eXp Realty","$","true","7779125","false","false","false","false","false","33.541355","-112.10954","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$499,000","false","House for sale","FOR_SALE","499000","Open: Sat. 11am-2pm","OPEN_HOUSE","7779125"
"5160 W Village Dr, Glendale, AZ 85308","Glendale","AZ","5160 W Village Dr","85308","1622",,"2","3","Coldwell Banker Realty","$","true","8100011","false","false","false","false","false","33.6439","-112.16967","true","Open House - 10:00 AM - 0:00 PM","2024-06-01T10:00:00","$487,500","false","House for sale","FOR_SALE","487500","Open: Sat. 10am-12pm","OPEN_HOUSE","8100011"
"37975 N 98th Pl, Scottsdale, AZ 85262","Scottsdale","AZ","37975 N 98th Pl","85262","5991",,"5","4","Keller Williams Northeast Realty","$","true","82819011","false","false","false","false","false","33.83005","-111.8685","true","Open House - 2:00 - 5:00 PM","2024-06-01T14:00:00","$6,495,000","false","House for sale","FOR_SALE","6495000","Open: Sat. 2-5pm","OPEN_HOUSE","82819011"
"6711 E Camelback Rd UNIT 21, Scottsdale, AZ 85251","Scottsdale","AZ","6711 E Camelback Rd UNIT 21","85251","2049",,"2","2","Launch Powered By Compass","$","true","7845740","false","false","false","false","false","33.500755","-111.937035","true","Open House - 11:00 AM - 1:00 PM","2024-06-01T11:00:00","$1,525,000","false","Townhouse for sale","FOR_SALE","1525000","Open: Sat. 11am-1pm","OPEN_HOUSE","7845740"
"19947 N 102nd Pl, Scottsdale, AZ 85255","Scottsdale","AZ","19947 N 102nd Pl","85255","4909",,"5","4","eXp Realty","$","true","95152843","false","false","false","false","false","33.666924","-111.8595","true","Open House - 1:00 - 4:00 PM","2024-06-01T13:00:00","$4,695,000","false","House for sale","FOR_SALE","4695000","Open: Sat. 1-4pm","OPEN_HOUSE","95152843"
"8515 W Midway Ave, Glendale, AZ 85305","Glendale","AZ","8515 W Midway Ave","85305","2304",,"3","3","My Home Group Real Estate","$","true","284849800","false","false","false","false","false","33.539757","-112.24332","true","Open House - 10:00 AM - 2:00 PM","2024-06-01T10:00:00","$539,900","false","House for sale","FOR_SALE","539900","Open: Sat. 10am-2pm","OPEN_HOUSE","284849800"
"7220 N 6th Way, Phoenix, AZ 85020","Phoenix","AZ","7220 N 6th Way","85020","2551",,"3","3","HomeSmart","$","true","7792215","false","false","false","false","false","33.542267","-112.066","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$899,900","false","House for sale","FOR_SALE","899900","Open: Sat. 11am-2pm","OPEN_HOUSE","7792215"
"7705 E Doubletree Ranch Rd UNIT 7, Scottsdale, AZ 85258","Scottsdale","AZ","7705 E Doubletree Ranch Rd UNIT 7","85258","2232",,"3","3","Long Realty Jasper Associates","$","true","7859629","false","false","false","false","false","33.562828","-111.913185","true","Open House - 1:30 - 3:30 PM","2024-06-01T13:30:00","$1,950,000","false","House for sale","FOR_SALE","1950000","Open: Sat. 1:30-3:30pm","OPEN_HOUSE","7859629"
"7343 W Rowel Rd, Peoria, AZ 85383","Peoria","AZ","7343 W Rowel Rd","85383","2349",,"2","5","My Home Group Real Estate","$","true","55120129","false","false","false","false","false","33.723904","-112.21704","true","Open House - 10:00 AM - 1:00 PM","2024-06-01T10:00:00","$584,000","false","House for sale","FOR_SALE","584000","Open: Sat. 10am-1pm","OPEN_HOUSE","55120129"
"2544 E Meadowbrook Ave, Phoenix, AZ 85016","Phoenix","AZ","2544 E Meadowbrook Ave","85016","1549",,"2","3","Keller Williams Realty East Valley","$","true","7803579","false","false","false","false","false","33.503838","-112.02611","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$739,999","false","House for sale","FOR_SALE","739999","Open: Sat. 11am-2pm","OPEN_HOUSE","7803579"
"2727 E University Dr LOT 46, Tempe, AZ 85281","Tempe","AZ","2727 E University Dr LOT 46","85281","1152","2024-03-13 00:00:00","2","2",,"$","false","344939059","false","false","false","false","false","33.421833","-111.8781","true","Open House - 11:00 AM - 1:00 PM","2024-05-31T11:00:00","$89,900","false","Home for sale","FOR_SALE","89900","Open: Fri. 11am-1pm","OPEN_HOUSE","344939059"
"2727 E University Dr #88, Tempe, AZ 85288","Tempe","AZ","2727 E University Dr #88","85288","1344","2023-08-14 00:00:00","2","2",,"$","false","2053927194","false","false","false","false","false","33.421833","-111.8781","true","Open House - 11:00 AM - 1:00 PM","2024-05-31T11:00:00","$149,900","false","New construction","FOR_SALE","149900","Open: Fri. 11am-1pm","OPEN_HOUSE","2053927194"
"7321 W Gary Way, Laveen, AZ 85339","Laveen","AZ","7321 W Gary Way","85339","1825",,"3","4","Keller Williams Arizona Realty","$","true","81951826","false","false","false","false","false","33.37359","-112.21567","true","Open House - 11:00 AM - 4:00 PM","2024-06-01T11:00:00","$424,850","false","House for sale","FOR_SALE","424850","Open: Sat. 11am-4pm","OPEN_HOUSE","81951826"
"2351 E Hidalgo Ave, Phoenix, AZ 85040","Phoenix","AZ","2351 E Hidalgo Ave","85040","1008",,"2","1","Opendoor Brokerage, LLC","$","true","95161389","false","false","false","false","false","33.39395","-112.031006","true","Open House - 8:00 AM - 7:30 PM","2024-05-30T08:00:00","$294,000","false","Townhouse for sale","FOR_SALE","294000","Open: Thu. 8am-7:30pm","OPEN_HOUSE","95161389"
"6831 W Molly Ln, Peoria, AZ 85383","Peoria","AZ","6831 W Molly Ln","85383","2051",,"3","3","DRH Properties Inc","$","true","342705091","false","false","false","false","false","33.72746","-112.206406","true","Open House - 11:00 AM - 4:00 PM","2024-05-30T11:00:00","$619,990","false","New construction","FOR_SALE","619990","Open: M: 12:00 PM-6:00 ...","OPEN_HOUSE","342705091"
"6836 W Molly Ln, Peoria, AZ 85383","Peoria","AZ","6836 W Molly Ln","85383","2125",,"3","3","DRH Properties Inc","$","true","342706301","false","false","false","false","false","33.72774","-112.20691","true","Open House - 11:00 AM - 4:00 PM","2024-05-30T11:00:00","$624,990","false","New construction","FOR_SALE","624990","Open: M: 12:00 PM-6:00 ...","OPEN_HOUSE","342706301"
"33023 N 53rd Way, Cave Creek, AZ 85331","Cave Creek","AZ","33023 N 53rd Way","85331","4281",,"4","4","Keller Williams Arizona Realty","$","true","89137196","false","false","false","false","false","33.78608","-111.96535","true","Open House - 0:00 - 3:00 PM","2024-06-01T12:00:00","$1,548,000","false","House for sale","FOR_SALE","1548000","Open: Sat. 12-3pm","OPEN_HOUSE","89137196"
"205 E Acapulco Ln, Phoenix, AZ 85022","Phoenix","AZ","205 E Acapulco Ln","85022","2571",,"3","4","Locality Homes","$","true","7963182","false","false","false","false","false","33.623657","-112.07069","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$875,000","false","House for sale","FOR_SALE","875000","Open: Sat. 11am-2pm","OPEN_HOUSE","7963182"
"6015 S 21st Dr, Phoenix, AZ 85041","Phoenix","AZ","6015 S 21st Dr","85041","1259",,"2","3","Opendoor Brokerage, LLC","$","true","59272645","false","false","false","false","false","33.391273","-112.103645","true","Open House - 8:00 AM - 7:30 PM","2024-05-30T08:00:00","$364,000","false","House for sale","FOR_SALE","364000","Open: Thu. 8am-7:30pm","OPEN_HOUSE","59272645"
"6745 N 93rd Ave UNIT 1166, Glendale, AZ 85305","Glendale","AZ","6745 N 93rd Ave UNIT 1166","85305","1784",,"3","3","Best Homes Real Estate","$","true","82823084","false","false","false","false","false","33.534424","-112.25702","true","Open House - 11:00 AM - 2:00 PM","2024-06-02T11:00:00","$385,000","false","Townhouse for sale","FOR_SALE","385000","Open: Sun. 11am-2pm","OPEN_HOUSE","82823084"
"5891 W Del Lago Cir, Glendale, AZ 85308","Glendale","AZ","5891 W Del Lago Cir","85308","3030",,"3","5","West USA Realty","$","true","7888830","false","false","false","false","false","33.675804","-112.18561","true","Open House - 10:00 AM - 2:00 PM","2024-06-01T10:00:00","$839,999","false","House for sale","FOR_SALE","839999","Open: Sat. 10am-2pm","OPEN_HOUSE","7888830"
